OrderID,Date,Customer,Region,Product,Category,Quantity,UnitPrice,Sales,Order Year,Order Month,High Value Order,Sales Category,Total Price
1023,2025-01-07,Customer_90,South,Chair,Furniture,9,90,810,2025,January,No,Medium,810
1024,2025-06-20,Customer_134,North,Desk,Furniture,3,150,450,2025,June,No,Low,450
1025,2025-09-07,Customer_116,South,Laptop,Electronics,7,800,5600,2025,September,Yes,High,5600
1026,2025-11-23,Customer_12,North,Notebook,Stationery,10,5,50,2025,November,No,Low,50
1027,2025-06-12,Customer_111,West,Notebook,Stationery,2,5,10,2025,June,No,Low,10
1028,2025-03-03,Customer_95,West,Notebook,Stationery,5,5,25,2025,March,No,Low,25
1029,2025-11-11,Customer_75,North,Desk,Furniture,6,150,900,2025,November,No,Medium,900
1030,2025-02-27,Customer_98,South,Desk,Furniture,5,150,750,2025,February,No,Medium,750
1031,2025-01-01,Customer_90,West,Laptop,Electronics,7,800,5600,2025,January,Yes,High,5600
1032,2025-05-04,Customer_44,East,Laptop,Electronics,2,800,1600,2025,May,Yes,High,1600
1033,2025-11-12,Customer_44,East,Notebook,Stationery,2,5,10,2025,November,No,Low,10
1034,2025-04-04,Customer_41,East,Chair,Furniture,1,90,90,2025,April,No,Low,90
1035,2025-10-09,Customer_101,South,Printer,Electronics,6,200,1200,2025,October,Yes,High,1200
1036,2025-09-17,Customer_96,East,Chair,Furniture,1,90,90,2025,September,No,Low,90
1037,2025-08-04,Customer_61,East,Laptop,Electronics,3,800,2400,2025,August,Yes,High,2400
1038,2025-06-03,Customer_123,West,Notebook,Stationery,2,5,10,2025,June,No,Low,10
1039,2025-07-18,Customer_10,West,Mouse,Electronics,6,20,120,2025,July,No,Low,120
1040,2025-09-10,Customer_112,South,Printer,Electronics,3,200,600,2025,September,No,Medium,600
1041,2025-12-17,Customer_86,West,Mouse,Electronics,1,20,20,2025,December,No,Low,20
1042,2025-07-24,Customer_111,South,Desk,Furniture,9,150,1350,2025,July,Yes,High,1350
1043,2025-01-12,Customer_10,West,Laptop,Electronics,1,800,800,2025,January,No,Medium,800
1044,2025-05-10,Customer_106,West,Chair,Furniture,6,90,540,2025,May,No,Medium,540
1045,2025-01-07,Customer_26,West,Laptop,Electronics,5,800,4000,2025,January,Yes,High,4000
1046,2025-03-19,Customer_36,North,Notebook,Stationery,5,5,25,2025,March,No,Low,25
1047,2025-07-09,Customer_150,North,Desk,Furniture,10,150,1500,2025,July,Yes,High,1500
1048,2025-03-02,Customer_98,West,Printer,Electronics,8,200,1600,2025,March,Yes,High,1600
1049,2025-08-11,Customer_127,North,Laptop,Electronics,6,800,4800,2025,August,Yes,High,4800
1050,2025-11-12,Customer_76,East,Mouse,Electronics,6,20,120,2025,November,No,Low,120
1051,2025-03-09,Customer_85,West,Mouse,Electronics,3,20,60,2025,March,No,Low,60
1052,2025-12-28,Customer_16,East,Chair,Furniture,1,90,90,2025,December,No,Low,90
1053,2025-07-16,Customer_35,North,Desk,Furniture,6,150,900,2025,July,No,Medium,900
1054,2025-01-08,Customer_17,North,Desk,Furniture,2,150,300,2025,January,No,Low,300
1055,2025-08-29,Customer_108,East,Desk,Furniture,10,150,1500,2025,August,Yes,High,1500
1056,2025-12-22,Customer_150,East,Chair,Furniture,10,90,900,2025,December,No,Medium,900
1057,2025-03-04,Customer_103,East,Mouse,Electronics,7,20,140,2025,March,No,Low,140
1058,2025-01-19,Customer_30,North,Mouse,Electronics,10,20,200,2025,January,No,Low,200
1059,2025-05-29,Customer_75,South,Chair,Furniture,10,90,900,2025,May,No,Medium,900
1060,2025-12-21,Customer_60,East,Notebook,Stationery,1,5,5,2025,December,No,Low,5
1061,2025-05-11,Customer_93,South,Notebook,Stationery,2,5,10,2025,May,No,Low,10
1062,2025-07-13,Customer_27,South,Mouse,Electronics,8,20,160,2025,July,No,Low,160
1063,2025-11-27,Customer_58,West,Printer,Electronics,6,200,1200,2025,November,Yes,High,1200
1064,2025-05-30,Customer_49,West,Printer,Electronics,10,200,2000,2025,May,Yes,High,2000
1065,2025-04-06,Customer_92,East,Laptop,Electronics,1,800,800,2025,April,No,Medium,800
1066,2025-09-20,Customer_95,South,Printer,Electronics,3,200,600,2025,September,No,Medium,600
1067,2025-11-30,Customer_99,East,Mouse,Electronics,9,20,180,2025,November,No,Low,180
1068,2025-10-09,Customer_94,North,Chair,Furniture,5,90,450,2025,October,No,Low,450
1069,2025-08-07,Customer_84,West,Desk,Furniture,8,150,1200,2025,August,Yes,High,1200
1070,2025-12-14,Customer_136,North,Laptop,Electronics,3,800,2400,2025,December,Yes,High,2400
1071,2025-10-02,Customer_49,East,Printer,Electronics,2,200,400,2025,October,No,Low,400
1072,2025-05-05,Customer_1,North,Mouse,Electronics,5,20,100,2025,May,No,Low,100
1073,2025-10-28,Customer_135,West,Chair,Furniture,4,90,360,2025,October,No,Low,360
1074,2025-06-07,Customer_72,North,Mouse,Electronics,4,20,80,2025,June,No,Low,80
1075,2025-12-16,Customer_63,North,Desk,Furniture,1,150,150,2025,December,No,Low,150
1076,2025-04-01,Customer_36,South,Printer,Electronics,1,200,200,2025,April,No,Low,200
1077,2025-03-18,Customer_50,South,Desk,Furniture,9,150,1350,2025,March,Yes,High,1350
1078,2025-12-28,Customer_53,East,Laptop,Electronics,9,800,7200,2025,December,Yes,High,7200
1079,2025-02-22,Customer_132,South,Mouse,Electronics,6,20,120,2025,February,No,Low,120
1080,2025-10-14,Customer_55,South,Chair,Furniture,1,90,90,2025,October,No,Low,90
1081,2025-08-12,Customer_129,North,Notebook,Stationery,9,5,45,2025,August,No,Low,45
1082,2025-08-28,Customer_97,North,Desk,Furniture,7,150,1050,2025,August,Yes,High,1050
1083,2025-08-07,Customer_115,West,Printer,Electronics,4,200,800,2025,August,No,Medium,800
1084,2025-01-09,Customer_124,South,Laptop,Electronics,5,800,4000,2025,January,Yes,High,4000
1085,2025-04-14,Customer_49,South,Mouse,Electronics,5,20,100,2025,April,No,Low,100
1086,2025-03-19,Customer_7,East,Laptop,Electronics,5,800,4000,2025,March,Yes,High,4000
1087,2025-03-31,Customer_83,East,Mouse,Electronics,6,20,120,2025,March,No,Low,120
1088,2025-09-20,Customer_103,West,Notebook,Stationery,3,5,15,2025,September,No,Low,15
1089,2025-03-15,Customer_4,West,Laptop,Electronics,8,800,6400,2025,March,Yes,High,6400
1090,2025-04-26,Customer_13,East,Laptop,Electronics,10,800,8000,2025,April,Yes,High,8000
1091,2025-05-13,Customer_125,West,Mouse,Electronics,9,20,180,2025,May,No,Low,180
1092,2025-08-29,Customer_15,South,Notebook,Stationery,2,5,10,2025,August,No,Low,10
1093,2025-08-15,Customer_76,North,Printer,Electronics,9,200,1800,2025,August,Yes,High,1800
1094,2025-09-21,Customer_48,West,Printer,Electronics,7,200,1400,2025,September,Yes,High,1400
1095,2025-01-13,Customer_2,West,Chair,Furniture,1,90,90,2025,January,No,Low,90
1096,2025-08-24,Customer_147,North,Notebook,Stationery,4,5,20,2025,August,No,Low,20
1097,2025-09-24,Customer_101,South,Printer,Electronics,8,200,1600,2025,September,Yes,High,1600
1098,2025-07-30,Customer_56,West,Desk,Furniture,7,150,1050,2025,July,Yes,High,1050
1099,2025-05-27,Customer_8,West,Chair,Furniture,1,90,90,2025,May,No,Low,90
1100,2025-05-16,Customer_108,North,Mouse,Electronics,5,20,100,2025,May,No,Low,100
1101,2025-09-04,Customer_5,East,Mouse,Electronics,9,20,180,2025,September,No,Low,180
1102,2025-11-04,Customer_137,East,Notebook,Stationery,8,5,40,2025,November,No,Low,40
1103,2025-11-26,Customer_20,North,Mouse,Electronics,1,20,20,2025,November,No,Low,20
1104,2025-12-07,Customer_63,North,Printer,Electronics,2,200,400,2025,December,No,Low,400
1105,2025-09-01,Customer_92,South,Chair,Furniture,7,90,630,2025,September,No,Medium,630
1106,2025-04-13,Customer_96,East,Chair,Furniture,10,90,900,2025,April,No,Medium,900
1107,2025-02-26,Customer_136,West,Desk,Furniture,2,150,300,2025,February,No,Low,300
1108,2025-01-08,Customer_81,East,Mouse,Electronics,6,20,120,2025,January,No,Low,120
1109,2025-07-04,Customer_2,South,Mouse,Electronics,9,20,180,2025,July,No,Low,180
1110,2025-09-12,Customer_25,West,Mouse,Electronics,4,20,80,2025,September,No,Low,80
1111,2025-04-12,Customer_84,West,Notebook,Stationery,8,5,40,2025,April,No,Low,40
1112,2025-12-25,Customer_136,North,Desk,Furniture,7,150,1050,2025,December,Yes,High,1050
1113,2025-10-14,Customer_48,South,Printer,Electronics,5,200,1000,2025,October,Yes,Medium,1000
1114,2025-04-30,Customer_136,North,Desk,Furniture,4,150,600,2025,April,No,Medium,600
1115,2025-06-25,Customer_12,West,Notebook,Stationery,5,5,25,2025,June,No,Low,25
1116,2025-02-08,Customer_22,West,Desk,Furniture,6,150,900,2025,February,No,Medium,900
1117,2025-07-20,Customer_123,East,Laptop,Electronics,1,800,800,2025,July,No,Medium,800
1118,2025-02-21,Customer_61,North,Notebook,Stationery,9,5,45,2025,February,No,Low,45
1119,2025-08-16,Customer_121,South,Laptop,Electronics,4,800,3200,2025,August,Yes,High,3200
1120,2025-12-11,Customer_103,South,Notebook,Stationery,3,5,15,2025,December,No,Low,15
1121,2025-07-21,Customer_72,North,Printer,Electronics,3,200,600,2025,July,No,Medium,600
1122,2025-03-27,Customer_107,South,Mouse,Electronics,7,20,140,2025,March,No,Low,140
1123,2025-04-26,Customer_28,South,Mouse,Electronics,10,20,200,2025,April,No,Low,200
1124,2025-01-20,Customer_84,East,Desk,Furniture,7,150,1050,2025,January,Yes,High,1050
1125,2025-12-02,Customer_58,East,Mouse,Electronics,1,20,20,2025,December,No,Low,20
1126,2025-01-24,Customer_138,South,Laptop,Electronics,3,800,2400,2025,January,Yes,High,2400
1127,2025-08-30,Customer_46,East,Mouse,Electronics,10,20,200,2025,August,No,Low,200
1128,2025-11-01,Customer_105,North,Desk,Furniture,8,150,1200,2025,November,Yes,High,1200
1129,2025-01-07,Customer_71,West,Desk,Furniture,5,150,750,2025,January,No,Medium,750
1130,2025-01-30,Customer_142,West,Laptop,Electronics,10,800,8000,2025,January,Yes,High,8000
1131,2025-07-01,Customer_16,East,Chair,Furniture,2,90,180,2025,July,No,Low,180
1132,2025-08-30,Customer_146,South,Laptop,Electronics,3,800,2400,2025,August,Yes,High,2400
1133,2025-04-14,Customer_85,East,Printer,Electronics,7,200,1400,2025,April,Yes,High,1400
1134,2025-12-01,Customer_60,North,Printer,Electronics,5,200,1000,2025,December,Yes,Medium,1000
1135,2025-04-04,Customer_129,North,Mouse,Electronics,10,20,200,2025,April,No,Low,200
1136,2025-04-07,Customer_28,South,Desk,Furniture,7,150,1050,2025,April,Yes,High,1050
1137,2025-08-28,Customer_14,North,Printer,Electronics,9,200,1800,2025,August,Yes,High,1800
1138,2025-10-27,Customer_17,North,Notebook,Stationery,6,5,30,2025,October,No,Low,30
1139,2025-08-23,Customer_69,East,Desk,Furniture,7,150,1050,2025,August,Yes,High,1050
1140,2025-11-20,Customer_3,South,Desk,Furniture,3,150,450,2025,November,No,Low,450
1141,2025-05-31,Customer_55,West,Desk,Furniture,3,150,450,2025,May,No,Low,450
1142,2025-01-20,Customer_75,West,Laptop,Electronics,7,800,5600,2025,January,Yes,High,5600
1143,2025-10-04,Customer_37,West,Chair,Furniture,3,90,270,2025,October,No,Low,270
1144,2025-07-29,Customer_92,West,Laptop,Electronics,7,800,5600,2025,July,Yes,High,5600
1145,2025-07-05,Customer_145,East,Laptop,Electronics,4,800,3200,2025,July,Yes,High,3200
1146,2025-12-23,Customer_111,South,Printer,Electronics,6,200,1200,2025,December,Yes,High,1200
1147,2025-11-16,Customer_46,South,Chair,Furniture,10,90,900,2025,November,No,Medium,900
1148,2025-07-06,Customer_27,East,Chair,Furniture,7,90,630,2025,July,No,Medium,630
1149,2025-04-22,Customer_34,East,Notebook,Stationery,6,5,30,2025,April,No,Low,30
1150,2025-11-28,Customer_17,North,Laptop,Electronics,1,800,800,2025,November,No,Medium,800
1151,2025-09-14,Customer_86,East,Chair,Furniture,5,90,450,2025,September,No,Low,450
1152,2025-02-23,Customer_106,South,Laptop,Electronics,9,800,7200,2025,February,Yes,High,7200
1153,2025-03-20,Customer_100,West,Notebook,Stationery,4,5,20,2025,March,No,Low,20
1154,2025-08-06,Customer_2,South,Desk,Furniture,6,150,900,2025,August,No,Medium,900
1155,2025-05-02,Customer_64,East,Desk,Furniture,8,150,1200,2025,May,Yes,High,1200
1156,2025-03-18,Customer_91,North,Notebook,Stationery,9,5,45,2025,March,No,Low,45
1157,2025-03-29,Customer_11,East,Laptop,Electronics,6,800,4800,2025,March,Yes,High,4800
1158,2025-08-25,Customer_120,North,Laptop,Electronics,4,800,3200,2025,August,Yes,High,3200
1159,2025-04-25,Customer_121,North,Mouse,Electronics,9,20,180,2025,April,No,Low,180
1160,2025-09-24,Customer_70,North,Mouse,Electronics,9,20,180,2025,September,No,Low,180
1161,2025-03-13,Customer_60,North,Notebook,Stationery,2,5,10,2025,March,No,Low,10
1162,2025-01-15,Customer_141,East,Mouse,Electronics,3,20,60,2025,January,No,Low,60
1163,2025-12-31,Customer_72,South,Desk,Furniture,1,150,150,2025,December,No,Low,150
1164,2025-07-29,Customer_99,South,Laptop,Electronics,7,800,5600,2025,July,Yes,High,5600
1165,2025-02-11,Customer_42,North,Chair,Furniture,2,90,180,2025,February,No,Low,180
1166,2025-10-20,Customer_140,East,Desk,Furniture,1,150,150,2025,October,No,Low,150
1167,2025-06-20,Customer_21,North,Laptop,Electronics,3,800,2400,2025,June,Yes,High,2400
1168,2025-05-06,Customer_102,North,Mouse,Electronics,1,20,20,2025,May,No,Low,20
1169,2025-06-26,Customer_32,East,Laptop,Electronics,5,800,4000,2025,June,Yes,High,4000
1170,2025-04-19,Customer_62,West,Laptop,Electronics,4,800,3200,2025,April,Yes,High,3200
1171,2025-10-17,Customer_137,West,Printer,Electronics,2,200,400,2025,October,No,Low,400
1172,2025-02-14,Customer_113,South,Laptop,Electronics,10,800,8000,2025,February,Yes,High,8000
1173,2025-11-16,Customer_104,North,Chair,Furniture,5,90,450,2025,November,No,Low,450
1174,2025-09-08,Customer_91,North,Notebook,Stationery,1,5,5,2025,September,No,Low,5
1175,2025-10-27,Customer_116,South,Mouse,Electronics,1,20,20,2025,October,No,Low,20
1176,2025-06-20,Customer_42,West,Printer,Electronics,1,200,200,2025,June,No,Low,200
1177,2025-06-25,Customer_92,West,Laptop,Electronics,1,800,800,2025,June,No,Medium,800
1178,2025-11-02,Customer_4,West,Laptop,Electronics,5,800,4000,2025,November,Yes,High,4000
1179,2025-05-30,Customer_22,North,Laptop,Electronics,5,800,4000,2025,May,Yes,High,4000
1180,2025-05-19,Customer_68,South,Mouse,Electronics,6,20,120,2025,May,No,Low,120
1181,2025-05-14,Customer_19,West,Chair,Furniture,7,90,630,2025,May,No,Medium,630
1182,2025-04-05,Customer_84,North,Laptop,Electronics,4,800,3200,2025,April,Yes,High,3200
1183,2025-01-11,Customer_81,East,Mouse,Electronics,6,20,120,2025,January,No,Low,120
1184,2025-05-15,Customer_131,West,Desk,Furniture,6,150,900,2025,May,No,Medium,900
1185,2025-02-18,Customer_31,South,Notebook,Stationery,8,5,40,2025,February,No,Low,40
1186,2025-09-15,Customer_137,South,Chair,Furniture,6,90,540,2025,September,No,Medium,540
1187,2025-01-26,Customer_83,North,Mouse,Electronics,5,20,100,2025,January,No,Low,100
1188,2025-10-06,Customer_9,West,Printer,Electronics,1,200,200,2025,October,No,Low,200
1189,2025-11-12,Customer_41,West,Notebook,Stationery,8,5,40,2025,November,No,Low,40
1190,2025-08-24,Customer_90,North,Mouse,Electronics,10,20,200,2025,August,No,Low,200
1191,2025-01-29,Customer_133,East,Laptop,Electronics,9,800,7200,2025,January,Yes,High,7200
1192,2025-08-14,Customer_149,East,Printer,Electronics,5,200,1000,2025,August,Yes,Medium,1000
1193,2025-05-23,Customer_97,North,Chair,Furniture,5,90,450,2025,May,No,Low,450
1194,2025-06-30,Customer_49,South,Notebook,Stationery,3,5,15,2025,June,No,Low,15
1195,2025-10-04,Customer_49,South,Notebook,Stationery,4,5,20,2025,October,No,Low,20
1196,2025-09-29,Customer_96,North,Chair,Furniture,3,90,270,2025,September,No,Low,270
1197,2025-08-20,Customer_77,South,Desk,Furniture,9,150,1350,2025,August,Yes,High,1350
1198,2025-02-11,Customer_30,South,Notebook,Stationery,6,5,30,2025,February,No,Low,30
1199,2025-02-03,Customer_57,East,Laptop,Electronics,2,800,1600,2025,February,Yes,High,1600
1200,2025-01-27,Customer_36,North,Mouse,Electronics,10,20,200,2025,January,No,Low,200
1201,2025-02-20,Customer_65,East,Laptop,Electronics,2,800,1600,2025,February,Yes,High,1600
1202,2025-07-07,Customer_30,South,Laptop,Electronics,1,800,800,2025,July,No,Medium,800
1203,2025-07-06,Customer_4,West,Desk,Furniture,7,150,1050,2025,July,Yes,High,1050
1204,2025-01-25,Customer_60,South,Desk,Furniture,10,150,1500,2025,January,Yes,High,1500
1205,2025-12-28,Customer_54,West,Laptop,Electronics,6,800,4800,2025,December,Yes,High,4800
1206,2025-10-22,Customer_82,East,Chair,Furniture,10,90,900,2025,October,No,Medium,900
1207,2025-12-14,Customer_57,East,Desk,Furniture,8,150,1200,2025,December,Yes,High,1200
1208,2025-08-27,Customer_131,South,Mouse,Electronics,10,20,200,2025,August,No,Low,200
1209,2025-08-31,Customer_48,South,Chair,Furniture,3,90,270,2025,August,No,Low,270
1210,2025-10-25,Customer_120,South,Mouse,Electronics,4,20,80,2025,October,No,Low,80
1211,2025-03-09,Customer_73,South,Chair,Furniture,3,90,270,2025,March,No,Low,270
1212,2025-11-08,Customer_128,South,Printer,Electronics,3,200,600,2025,November,No,Medium,600
1213,2025-03-03,Customer_86,West,Laptop,Electronics,3,800,2400,2025,March,Yes,High,2400
1214,2025-02-05,Customer_117,South,Desk,Furniture,10,150,1500,2025,February,Yes,High,1500
1215,2025-11-04,Customer_85,West,Laptop,Electronics,1,800,800,2025,November,No,Medium,800
1216,2025-07-29,Customer_33,East,Laptop,Electronics,9,800,7200,2025,July,Yes,High,7200
1217,2025-09-23,Customer_84,North,Notebook,Stationery,3,5,15,2025,September,No,Low,15
1218,2025-03-03,Customer_46,West,Printer,Electronics,3,200,600,2025,March,No,Medium,600
1219,2025-10-08,Customer_150,West,Printer,Electronics,5,200,1000,2025,October,Yes,Medium,1000
1220,2025-12-27,Customer_92,West,Mouse,Electronics,3,20,60,2025,December,No,Low,60
1221,2025-11-14,Customer_124,West,Printer,Electronics,5,200,1000,2025,November,Yes,Medium,1000
1222,2025-01-05,Customer_86,East,Desk,Furniture,7,150,1050,2025,January,Yes,High,1050
1223,2025-02-11,Customer_118,West,Desk,Furniture,7,150,1050,2025,February,Yes,High,1050
1224,2025-05-13,Customer_107,East,Chair,Furniture,7,90,630,2025,May,No,Medium,630
1225,2025-10-07,Customer_19,East,Notebook,Stationery,5,5,25,2025,October,No,Low,25
1226,2025-10-18,Customer_118,East,Laptop,Electronics,6,800,4800,2025,October,Yes,High,4800
1227,2025-02-01,Customer_27,West,Laptop,Electronics,8,800,6400,2025,February,Yes,High,6400
1228,2025-02-22,Customer_71,West,Desk,Furniture,9,150,1350,2025,February,Yes,High,1350
1229,2025-12-23,Customer_25,West,Printer,Electronics,8,200,1600,2025,December,Yes,High,1600
1230,2025-08-10,Customer_82,South,Mouse,Electronics,5,20,100,2025,August,No,Low,100
1231,2025-04-27,Customer_109,West,Desk,Furniture,3,150,450,2025,April,No,Low,450
1232,2025-08-09,Customer_52,West,Desk,Furniture,3,150,450,2025,August,No,Low,450
1233,2025-11-29,Customer_123,North,Desk,Furniture,1,150,150,2025,November,No,Low,150
1234,2025-05-22,Customer_53,East,Printer,Electronics,10,200,2000,2025,May,Yes,High,2000
1235,2025-08-07,Customer_59,West,Laptop,Electronics,5,800,4000,2025,August,Yes,High,4000
1236,2025-12-28,Customer_108,North,Printer,Electronics,4,200,800,2025,December,No,Medium,800
1237,2025-04-23,Customer_45,North,Notebook,Stationery,8,5,40,2025,April,No,Low,40
1238,2025-05-03,Customer_106,South,Mouse,Electronics,5,20,100,2025,May,No,Low,100
1239,2025-01-11,Customer_64,West,Mouse,Electronics,3,20,60,2025,January,No,Low,60
1240,2025-01-30,Customer_72,West,Notebook,Stationery,2,5,10,2025,January,No,Low,10
1241,2025-12-31,Customer_36,East,Chair,Furniture,2,90,180,2025,December,No,Low,180
1242,2025-12-08,Customer_17,West,Mouse,Electronics,4,20,80,2025,December,No,Low,80
1243,2025-06-02,Customer_128,South,Laptop,Electronics,5,800,4000,2025,June,Yes,High,4000
1244,2025-08-12,Customer_23,West,Mouse,Electronics,9,20,180,2025,August,No,Low,180
1245,2025-12-06,Customer_49,North,Laptop,Electronics,10,800,8000,2025,December,Yes,High,8000
1246,2025-02-21,Customer_133,West,Desk,Furniture,8,150,1200,2025,February,Yes,High,1200
1247,2025-07-10,Customer_134,East,Mouse,Electronics,10,20,200,2025,July,No,Low,200
1248,2025-05-30,Customer_83,North,Mouse,Electronics,3,20,60,2025,May,No,Low,60
1249,2025-09-03,Customer_109,East,Printer,Electronics,4,200,800,2025,September,No,Medium,800
1250,2025-02-07,Customer_10,East,Laptop,Electronics,5,800,4000,2025,February,Yes,High,4000
1251,2025-09-18,Customer_98,North,Laptop,Electronics,5,800,4000,2025,September,Yes,High,4000
1252,2025-08-04,Customer_36,West,Laptop,Electronics,1,800,800,2025,August,No,Medium,800
1253,2025-05-07,Customer_10,North,Mouse,Electronics,10,20,200,2025,May,No,Low,200
1254,2025-05-26,Customer_103,West,Laptop,Electronics,7,800,5600,2025,May,Yes,High,5600
1255,2025-05-05,Customer_104,West,Printer,Electronics,4,200,800,2025,May,No,Medium,800
1256,2025-02-28,Customer_99,South,Chair,Furniture,7,90,630,2025,February,No,Medium,630
1257,2025-09-17,Customer_11,North,Printer,Electronics,2,200,400,2025,September,No,Low,400
1258,2025-04-07,Customer_132,South,Printer,Electronics,9,200,1800,2025,April,Yes,High,1800
1259,2025-02-12,Customer_27,West,Desk,Furniture,8,150,1200,2025,February,Yes,High,1200
1260,2025-03-29,Customer_104,North,Chair,Furniture,8,90,720,2025,March,No,Medium,720
1261,2025-03-28,Customer_50,North,Desk,Furniture,6,150,900,2025,March,No,Medium,900
1262,2025-01-26,Customer_64,North,Printer,Electronics,4,200,800,2025,January,No,Medium,800
1263,2025-02-18,Customer_26,North,Laptop,Electronics,6,800,4800,2025,February,Yes,High,4800
1264,2025-09-14,Customer_73,South,Desk,Furniture,4,150,600,2025,September,No,Medium,600
1265,2025-01-08,Customer_130,West,Mouse,Electronics,10,20,200,2025,January,No,Low,200
1266,2025-11-19,Customer_14,East,Chair,Furniture,3,90,270,2025,November,No,Low,270
1267,2025-08-07,Customer_131,North,Printer,Electronics,1,200,200,2025,August,No,Low,200
1268,2025-04-18,Customer_119,South,Notebook,Stationery,10,5,50,2025,April,No,Low,50
1269,2025-06-02,Customer_74,North,Chair,Furniture,10,90,900,2025,June,No,Medium,900
1270,2025-07-25,Customer_141,West,Desk,Furniture,8,150,1200,2025,July,Yes,High,1200
1271,2025-08-12,Customer_81,East,Printer,Electronics,10,200,2000,2025,August,Yes,High,2000
1272,2025-10-11,Customer_121,North,Mouse,Electronics,7,20,140,2025,October,No,Low,140
1273,2025-05-17,Customer_11,East,Desk,Furniture,4,150,600,2025,May,No,Medium,600
1274,2025-01-24,Customer_118,North,Laptop,Electronics,9,800,7200,2025,January,Yes,High,7200
1275,2025-08-13,Customer_143,South,Mouse,Electronics,8,20,160,2025,August,No,Low,160
1276,2025-05-25,Customer_59,North,Notebook,Stationery,4,5,20,2025,May,No,Low,20
1277,2025-06-01,Customer_34,South,Chair,Furniture,9,90,810,2025,June,No,Medium,810
1278,2025-06-13,Customer_12,East,Printer,Electronics,10,200,2000,2025,June,Yes,High,2000
1279,2025-05-03,Customer_80,South,Chair,Furniture,5,90,450,2025,May,No,Low,450
1280,2025-03-27,Customer_50,West,Chair,Furniture,6,90,540,2025,March,No,Medium,540
1281,2025-05-25,Customer_139,East,Chair,Furniture,7,90,630,2025,May,No,Medium,630
1282,2025-01-25,Customer_45,North,Laptop,Electronics,10,800,8000,2025,January,Yes,High,8000
1283,2025-12-18,Customer_3,North,Printer,Electronics,8,200,1600,2025,December,Yes,High,1600
1284,2025-02-14,Customer_25,West,Desk,Furniture,1,150,150,2025,February,No,Low,150
1285,2025-04-14,Customer_135,South,Mouse,Electronics,6,20,120,2025,April,No,Low,120
1286,2025-02-23,Customer_54,North,Desk,Furniture,5,150,750,2025,February,No,Medium,750
1287,2025-09-30,Customer_40,South,Printer,Electronics,5,200,1000,2025,September,Yes,Medium,1000
1288,2025-11-29,Customer_102,West,Chair,Furniture,2,90,180,2025,November,No,Low,180
1289,2025-06-01,Customer_72,West,Desk,Furniture,7,150,1050,2025,June,Yes,High,1050
1290,2025-12-25,Customer_97,West,Laptop,Electronics,3,800,2400,2025,December,Yes,High,2400
1291,2025-12-17,Customer_120,North,Notebook,Stationery,1,5,5,2025,December,No,Low,5
1292,2025-09-25,Customer_76,North,Printer,Electronics,7,200,1400,2025,September,Yes,High,1400
1293,2025-02-27,Customer_19,North,Desk,Furniture,7,150,1050,2025,February,Yes,High,1050
1294,2025-01-28,Customer_142,South,Notebook,Stationery,2,5,10,2025,January,No,Low,10
1295,2025-12-10,Customer_57,East,Desk,Furniture,10,150,1500,2025,December,Yes,High,1500
1296,2025-09-21,Customer_57,North,Chair,Furniture,2,90,180,2025,September,No,Low,180
